source,target
Cancelled,Avbruten
cancelling,avbrytande
cancels,avbryter
candidate,kandidat
candidates,kandidater
Capacity,Kapacitet
caption,undertext
carrier,speditör
Carrier,Leverantör
carts,varukorgar
cart,varukorg
Cash based,Kontantbaserad
cash basis,kontantprincip
Cash Basis,Kontantmetoden
cash basis (tax),kontantprincip (skatt)
cash basis transition account,övergångskonto för kontantprincip
cash concentration,kontantkoncentration
cash entries,kontantposter
cash equivalents,kontanta tillgångar
Cash Flow Statement,Kassaflödesanalys
cashier,kassör
cash journal,kontantjournal
Cash,Kontant
cash,kontanter
cash management,kontanthantering
cash on delivery,postförskott
Cash Pooling,Gemensam förvaltning av likvida medel
cash register,kassaapparat
Cash register,Kassaregister
Cash Register,Kassaapparat
cash rounding,kontantavrundning
cash statement,kontantrapport
cash transaction,kontanttransaktion
catchall,allt inklusive
categories,kategorier
category,kategori
CEO,VD
CFO,Finanschef
challenge,utmaning
Challenge,Utmaning
characters,tecken
Chart of accounts,Kontoplan
chatbot,chattbot
chatbots,chattbotar
Chat,Chatt
Chatter,Händelseflöde
chatter,chattare
chatters,chattare
Checkbox,Kryssruta
Check,Kryssa för
checked,ikryssad
Check In,Checka in
check layout,tjejlayout
Check Out,Checka ut
checkout page,utcheckningssida
child activities,barnaktiviteter
child activity,barnaktivitet
children,barn
City,Stad
Claim,Anspråk
clicked,klickad
clicking,klickar
click,klick
clicks,klick
clipboard,urklipp
Close Date,Slutdatum
closing balance,slutbalans
closing entry,slutpost
closing,stängning
Cohort,Kohort
color button,knappfärg
color,färg
color palette,färgpalett
color palettes,färgpaletter
colors,färger
colors palette,färgpalett
colour,färg
colours,färger
Combined Ratio,Kombinerat nyckeltal
command,kommando
Comment,Kommentar
commissions,provisioner
Communication,Kommunikation
Company,Företag
Company Properties,Företagets fastigheter
component,komponent
Compress,Komprimera
Computed Balance,Beräknad balans
config,konfiguration
Config Settings,Inställningar
configuration,konfiguration
Configuration,Konfiguration
configuration panel,konfigurationspanel
configurations,konfigurationer
Configurator,Konfigurator
configured,konfigurerad
Configure,Konfigurera
configures,konfigurerar
configuring,konfigurerar
confirmation,bekräftelse
Confirmation,Bekräftelse
confirm,bekräfta
Confirm,Bekräfta
confirmed,bekräftad
confirming,bekräftar
confirms,bekräftar
connect,anslut
connected,ansluten
connecting,ansluter
connection,anslutning
connections,anslutningar
connectivity,anslutning
connector,anslutning
connectors,anslutningar
connects,ansluter
cons,brister
consolidation chart,konsolideringsdiagram
consolidation,konsolidering
Consolidation,Konsolidering
constraint,begränsning
Consumable,Förbrukningsvara
consumer loan,konsumentlån
consumer loans,konsumentlån
contact form,kontaktformulär
contact,kontakt
contacts directory,kontaktlista
contacts,kontakter
Contact Us,Kontakta oss
container,container
Content,Innehåll
context,sammanhang
Contract,Kontrakt
Contracts,Kontrakt
contribution,bidrag
contribution register,bidragsregister
Controlled Disbursement,Kontrollerad utbetalning
Controll,Kontroll
Control Point,Kontrollpunkt
conversation,samtal
Conversations,Konversationer
conversations,samtal
conversion rate,konverteringsfrekvens
Corporate Action,Bolagsåtgärder
Corrective Actions,Korrigerande åtgärder
corrective maintenance,korrigerande underhåll
correct,rätt
Cost Currency,Kostnadsvaluta
costing,kostnadskalkyl
costing method,kostnadskalkylmetod
cost of goods sold,varukostnad
Costs,Kostnader
Count,Antal
Counterpart,Motpart
Counter,Räknare
counter transaction,räknartransaktion
counter transactions,räknartransaktioner
counting,räkning
count,räkna
coupon,kupong
Coupon,Kupong
coupon program,kupongprogram
coupons,rabattkuponger
Course,Kurs
Cover,Omslag
Create date,Registreringsdatum
Created by,Skapad av
created on,skapad den
Created on,Skapad den
Create,Skapa
Credentials,Legitimationshandlingar
credit account,kreditkonto
Credit Adjustment,Kreditjustering
Credit adjustments,Kreditjusteringar
credit amount,kreditbelopp
Credit Card,Kreditkort
credit cards,kreditkort
credit limit,kreditgräns
credit move,kredittransaktion
credit note,kreditnota
Credit Note,Kreditfaktura
creditor,kreditor
credit transfer,kreditöverföring
Credit transfers,Kreditöverföringar
credit transfers,kreditöverföringar
CRM,CRM
cron,cron
Cross-dock,Direktleverans
crossed cheque,genomstruken check
CTO,Teknisk chef
cuenta,konto
Cumulative,Kumulativ
currencies,valutor
currency rates,valutakurser
currency rate,valutakurs
currency,valuta
Current Assets,Omsättningstillgångar
Current Liabilities,Kortfristiga skulder
current time,aktuell tid
customer account statement,kundkontoutdrag
customer display,kunddisplay
customer displays,kunddisplay
Customer,Kund
customer lead time,Kundledtid
Customer lead time,Kundens ledtid
Customer Lead Time,Kundledtid
Customer Portal,Kundportal
Customer Portal URL,Kundportalens URL
Customer signature,Kundsignatur
customer statement,kundutdrag
Customer Statements,Kundutlåtanden
Customer Taxes,Skatt knuten till kunder
Customer to Reinvoice,Kund att fakturera om
customizations,Anpassningar
customize,anpassa
customized,anpassad
customizes,anpassar
customizing,anpassar
cut-off,avstängning
dashboard,anslagstavla
Dashboards,Anslagstavlor
database,databas
databases,databaser
data cleaning,datastädning
Data,Data
Date,Datum
date picker,datepicker
datepicker,datepicker
date pickers,datepickers
datepickers,datepickers
Date (UTC),Datum (UTC)
deadline,sluttid
debit account,debiteringskonto
debit amount,debiteringsbelopp
debit Card,debiteringskort
debit,debitering
Debit Method,Debiteringsmetod
debit move,debiteringstransaktion
debit note,debiteringsnota
debit notes,debiteringsnotor
debtor,gäldenär
debts,skulder
debug,felsökning
debugging,felsökning
debug mode,felsökningsläge
Declaration,Deklaration
declining factor,minskande faktor
Decoration,Dekoration
dedicated server,dedikerad server
Deduction,Avdrag
de-duplicated,deduplicerad
deduplicated,deduplicerad
de-duplicate,deduplicera
deduplicate,deduplicera
de-duplicates,deduplicerar
deduplicates,deduplicerar
de-duplicating,deduplicerar
deduplicating,deduplicerar
de-duplication,deduplikering
deduplication,deduplikering
de-duplications,deduplikeringar
deduplications,deduplikeringar
Default partner,Standardpartner
default,standard
Default,Standard
Default Value,Standardvärde
deferred expense,uppskjuten kostnad
Deferred,Uppskjuten
Delegate,Delegera
Delete field,Radera fält
Delete,Radera
delivered,levererad
deliveries,leveranser
delivering,levererar
deliver,leverera
delivers,levererar
delivery charges,leveranskostnader
delivery,leverans
delivery method,leveransmetod
delivery note,leveranssedel
Delivery Slip,Följesedel
demo,demonstration
Department,Avdelning
dependencies,beroenden
deposits,insättningar
Deposit Ticket,Depositionskvitto
deprecate,avskrivning
depreciable value,avskrivningsbar värde
depreciate,avskriva
depreciated,avskriven
depreciates,avskriver
depreciating,avskrivning
depreciation,avskrivning
Depreciation,Avskrivningar
description,beskrivning
Destination Journal,Destinationsjournal
destination location,destinationsplats
destination location,destinationsplats
destination locations,destinationsplatser
destination locations,destinationsplatser
detail,detalj
details,detaljer
Details,Detaljer
detected,upptäckt
detecting,upptäcker
detects,upptäcker
devices,enheter
diagram,diagram
Digest,Sammanställning
digest,sammanfattning
Digital,Digital
direct debit,autogiro
disable,inaktivera
Disallowed Expenses,Icke-tillåtna utgifter
Discard,Kassera
discarded,förkastad
discard,förkasta
discarding,förkastar
discards,förkastar
disconnected,frånkopplad
disconnecting,kopplar bort
disconnect,koppla bort
disconnects,kopplar bort
discount,rabatt
discounts,rabatter
Discuss,Diskutera
Discussion,Diskussion
displaying,visar
Display Name,Visningsnamn
displays,visningar
disposal,avsäger sig
distributor,distributör
Documentation,Dokumentation
Document Information,Dokumentinformation
Documents to be Signed,Dokument som ska signeras
domain,domän
Domain,Domän
Domestic Credit Transfer,Nationell kreditöverföring
Done,Klar
downloads,nedladdningar
Down payment,Handpenning
downvote,nedsättande röst
Draft invoice,Fakturautkast
draft invoices,utkast fakturor
draft status,utkast status
drafts,utkast
draft,utkast
Draft,Utkast
drag & drop,dra och släpp
drop-down menu,rullgardinsmeny
dropdown menu,rullgardinsmeny
drop-down menus,rullgardinsmenyer
dropdown menus,rullgardinsmenyer
drop-down,rullgardinsmeny
dropdown,rullgardinsmeny
drop-downs,rullgardinsmenyer
dropdowns,rullgardinsmenyer
drop ship,direktleverans
dropship,direktleverans
drop shipping,direktleverans
Dropshipping,Direktleveranser
Dry Run,Testkörning
due date,förfallodatum
duplicated,kopierad
duplicate,dubbla
duplicates,duplikat
duplicating,kopierar
dynamic,dynamisk
earning,intjäning
e-Commerce,e-handel
ECO,Konstruktionsändringsorder
EDI,EDI
edited,redigerad
Edit field,Redigera fält
edit mode,redigeringsläge
edits,redigerar
Effective,Effektiv
effects,effekter
Efficiency,Effektivitet
e.g.,t.ex.
eLearning,Utbildning (online)
element,element
email address,e-postadress
email addresses,e-postadresser
Email,E-post
emails,e-postmeddelanden
email server,e-postserver
employee,anställd
Employee,Anställd
Employees,Anställda
employees only,endast anställda
employer,arbetsgivare
employers,arbetsgivare
employment,anställning
Empty,Tom
ending,slut
enjoy,ta del av
enrolled,inskriven
Enterprise digest data,Sammanfattning företagsdata
enthusiastic,entusiastisk
entries,poster
entry,post
Entry,Post
EPC,EPC
Equipment Category,Utrustningskategori
equipment,utrustning
equity,eget kapital
Equity,Eget kapital
ERP,Affärsplanering
error,fel
Error,Fel
error message,felkod
errors,fel
ESG,ESG
etc.,o.s.v. (och så vidare)
event,evenemang
events,evenemang
example,exempel
examples,exempel
Exceptions,Undantag
exception,undantag
exchange differences,Valutakursdifferenser
exchange difference,Valutakursdifferens
Exchange rate,Valutakurs
excise,accis
excises,acciser
Exclusive,Exklusiv
execute,utför
executive summaries,verkställande sammanfattningar
executive summary,verkställande sammanfattning
Exempt,Befriad
exist,existera
Expected,Förväntad
expection,förväntan
expense account,kostnadskonto
Expense Account,Utgiftskonto
Expense,Utgift
Expenses,Utgifter
expire,upphöra
exported,exporterad
export,export
exporting,exporterar
exports,exporterar
expressions,uttryck
expression,uttryck
Expression,Uttryck
favicon,favicon
favorited,markerad som favorit
favorite,favorit
favorites,favoriter
fees,avgifter
field,fält
Field,Fält
field service,fältservice
field services,fältservice
fields,fält
Fields,Fält
Field Type,Fälttyp
file,fil
filename,filnamn
Filename,Filnamn
filenames,filnamn
files,filer
filter,filtrera
filters,filter
financial account,finansiellt konto
Financial,Finansiell
financial transaction,finansiell transaktion
Fiscal Country,Beskattningsland
Fiscal Localization,Skattelokalisering
fiscal period,skatteperiod
fiscal position,skattepositioner
fiscal positions,skattepositioner
fiscal stamp,skattstämpel
Fiscal Statement,Skattedeklaration
fiscal year,bokföringsår
Fiscal year,Räkenskapsår
Fiscal Year,Bokföringsår
Fiscal Year,Räkenskapsår
fixed term deposit,tidsbunden insättning
flagged,flagga
fleet,flotta
fleets,flottor
flow,flöde
folded,vikt
folder,mapp
folders,mappar
folding,vikning
fold,vika
follower,följare
Follower,Följare
followers,följare
Followers (Partners),Följare (partners)
follow,följa
follow up,följa upp
Follow-up,Uppföljning
follow-up,uppföljning
fonts,typsnitt
Font,Typsnitt
footer,sidfot
footers,sidfötter
forecast,prognos
Forecast,Prognos
forecasts,prognoser
foreign currencies,utländska valutor
foreign currency,utländsk valuta
format,format
formats,format
Formatting,Formatering
Form builder,Formulärbyggare
form,formulär
formulae,formler
formula,formel
formulas,formler
form view,formvy
form views,formvyer
Forum post,Foruminlägg
forwarded,vidarebefordrad
found,hittad
Free Stock in Transit,Gratis lager i transit
Frontdesk,Reception
frontend,frontend
Fully Signed,Påskriven
Future Activities,Framtida aktiviteter
Gamification,Spelifiering
Gantt chart,Ganttschema
Gantt,Gantt
gap,glapp
General,Allmän
General Information,Allmän information
general ledger,huvudbok
General Ledger,Huvudbok
General Settings,Allmänna inställningar
Generate a signature request,Skapa en signaturförfrågan
Generate,Skapa
Generate & sign,Skapa och signera
geolocation,geolokalisering
Geolocation,Geolokalisering
gift card,presentkort
global filter,globalt filter
goal,mål
Goal,Mål
goals,mål
Goods,Varor
go to,gå till
goto,gå till
grid,grid
gross increase,bruttoökning
gross profit,bruttoresultat
Group by,Gruppera efter
group chat,gruppchatt
group,grupp
guest,gäst
hand on,rätt på
hard lock,hård låsning
hashed,hashad
hash,hash
Has Message,Har meddelande
header,huvud
headers,huvuden
heading,rubrik
Heading,Rubrik
headings,rubriker
Headline,Rubrik
height,höjd
Height,Höjd
Hello,Hej
helper,assistent
Help,Hjälp
hidden,dold
hid,dold
hide,dölj
hides,döljer
hiding,döljande
hierarchy,hierarki
history,historik
Holiday Management,Semesterhantering
holidays,semester
home pages,startplatser
homepages,startplatser
home page,startplats
homepage,startplats
Hostname,Värdnamn
hour,timme
HR,HR
HS code,HS-kod
HTML editor,HTML-redigerare
icon,ikon
Icon,Ikon
icons,ikoner
identifier,identifierare
ID,ID
implementation guide,implementationsguide
implied,underförstådd
imported,importerad
import,Importera
Import,Importera
importing,importerar
imports,importer
inalterability,oföränderlighet
included in price,inkluderat i pris
income account,intäktskonto
income,Intäkt
incoming,inkommande
incorrect,fel
Incoterm,Incoterm
incoterms,incoterms
Incoterms,Incotermer
Indirect Demand,Indirekt efterfrågan
Individual,Individuell
In order to,För att
in progress,pågående
In Progress,Pågående
input location,inmatningsplats
Insert,Infoga
insight,inblick
installed,installerad
installing,installerar
installs,installerar
install the,installera
insulting,förolämpande
integer,heltal
intercompany,internkoncern
internal note,intern notering
Internal Reference,Intern referens
Internet,Internet
interview,intervju
intra community,intra community
intra-community,intra-community
intracommunity,intrakommunal
Intrastat Declaration,Intrastat-deklaration
Intrastat,Intrastat
invalid,ogiltig
inventories,lagersaldon
Inventory adjustment,Lagerjustering
inventory adjustments,lagerjusteringar
Inventory Control,Lagerkontroll
inventory count,inventering
inventory count sheet,lagerinventeringslista
Inventory,Lager
inventory location,lagerplats
inventory move,lagerflyttning
inventory operations,lageroperationer
Inventory Value,Lagervärde
inventory variation,lageravvikelse
Invoice Address,Fakturaadress
Invoice Line,Fakturarad
invoice policy,faktureringspolicy
Invoice(s),Fakturor
Invoices,Fakturor
Invoicing,Fakturering
Invoicing Period,Faktureringsperiod
IoT Box,IoT-box
IoT,IoT
IP address,IP-adress
ir.ui.view,ir.ui.vy
Is Empty,Är tom
Issue,Ärende
Item,Objekt
job applications,jobbansökningar
job board,jobbtavla
job boards,jobbtavlor
Job,Jobb
jobs board,jobbtavla
jobs boards,jobbtavlor
job title,jobbtitel
Job Title,Jobbtitel
job titles,jobbtitlar
join,gå med
Journal entries,Journalposter
journal entry,verifikat
Journal Item,Journalobjekt
journal items,journalposter
Journal item,Journalobjekt
journal,journal
Journal,Journal
journal's,Journalens
journals,journaler
kanban,kanban
kanban view,kanbanvy
kanban views,kanbanvyer
karma,karma
keep empty,lämna tomt
kernel,kärna
keyboard shortcuts,tangentbordsgenvägar
keyboard shortcut,tangentbordsgenväg
keywords,nyckelord
kitchen display,köksdisplay
kitchen displays,köksdisplayer
kitchen,kök
km,km
Knowledge,Kunskap
KPI,KPI
label,etikett
labels,etiketter
landed costs,landade kostnader
Landed costs,Landade kostnader
landing page,landningssida
lang,språk
Last Modification Date,Senast ändrad den
Last Modification User,Senast ändrad av
Last Updated by,Senast uppdaterad av
Last Updated on,Senast uppdaterad den
Late Activities,Sena aktiviteter
Late Availability,Sen tillgänglighet
Latitude,Latitud
layout,layout
Lead Enrichment,Berikning av leads
Lead,Lead
lead time,ledtid
lead times,ledtider
leaf category,löv kategori
Learn more,Läs mer
Leave empty,Lämna tomt
leave,ledighet
leaves,blad
Leaves,Ledighet
ledger,huvudbok
length,längd
Letter Of Credit,Kreditbrev
Liabilities,Skulder
liability,skuld
Lines,Rader
linked,länkad
link,länk
links,länkar
link tracker,länkspårare
Liquidity,Likviditet
lists,listor
list view,listvy
list views,listvyer
Litigation,Rättstvister
live chat,livechatt
Live Chat,Livechatt
live chats,livechattar
localisation,lokalisering
localisations,lokaliseringar
Localization,Lokalisering
localizations,lokaliseringar
Location,Plats
Logging,Loggning
login,inloggning
log,logg
logo,logotyp
Logo,Logga
logos,logotyper
Longitude,Longitud
look,titta
lost reason,förtappad orsak
lost reasons,förtappade orsaker
lot,parti
Lot,Parti
Lots,Partier
lots & serial numbers,partier & serienummer
Loyalty,Lojalitet
Mailing list,E-postlista
mailings,utskick
mailing,utskick
mailling,postutskick
mail,post
Main actions,Huvudåtgärder
maintenance request,underhållsförfrågan
maintenance,underhåll
Make to Order,Beställningsstyrt
Make to Order,På beställning
management fees,förvaltningsavgifter
manager,chef
Manager,Chef
managers,chefer
Manufacture,Tillverka
Manufacturing Lead Time,Tillverkningsledtid
manufacturing operation,tillverkningsoperation
Manufacturing Order,Tillverkningsorder
Manufacturing,Tillverkning
many2many,många till många
Many2Many,Många till många
many2one,många till en
Many2One,Många till en
mapped,mappad
mapping,mappning
margin,marginal
Marketing Automation,Marknadsföringsautomatisering
Marketing Card,Marknadsföringskort
marketing,marknadsföring
mass mail,massutskick
master page,huvudsida
Master Production Schedule,huvudproduktionsplan
Master Production Schedule,Övergripande produktionsschema
master record,huvudpost
matching,matchning
Maximum to Replenish,Maksimum att fylla på
Maximum to Replenish,Maximum att fylla på
media,media
meeting,Möte
Members Only,Endast medlemmar
Memo,Memo
memorized,lärt sig
memory,minne
Menu Entry,Menyval
Merchandise,Varor
Merge,Sammanslå
message,Meddelande
messages,Meddelanden
Messages,Meddelanden
meta,meta
method,metod
might,kanske
milestone,milstolpe
milestones,milstolpar
minimum,minimal
minus,minskning
misc,diverse
miscellaneous,diverse
mix-in,mix-in
mixin,mixin
mix-ins,mix-ins
mixins,mixins
mm,mm
mobile device,mobil enhet
mobile devices,mobila enheter
mobile,mobil
Model,Modell
Model name,Modellnamn
models,modeller
mode,läge
moderate,moderat
moderation,moderering
modes,lägen
modified,modifierad
module,modul
MO,MO
Monthly Recurring Revenue,Månatlig återkommande intäkt
move,flytta
Move,Flytta
move line,transaktionsrad
MPS,Övergripande produktionsschema
MRP,MRP
MRR,MRR
MTO,MTO
multi-factor,multifaktors-
Multiple Quantity,Flera kvantiteter
My Activity Deadline,Min aktivitetsdeadline
My Documents,Mina dokument
My Requests,Mina förfrågningar
Name,Namn
navigated,navigerad
navigate,navigera
navigates,navigerar
navigating,navigerar
navigation,navigation
nav,navigation
Negotiation,Förhandling
net profit,nettoresultat
neutralize,neutralisera
New document to sign,Nytt dokument att signera
New Statment,Nytt utdrag
next activities,nästa aktiviteter
Next Activity Calendar Event,Kommande kalenderbokningar
Next Activity Deadline,Nästa aktivitetsdeadline
Next Activity Summary,Nästa aktivitetssammanfattning
Next Activity Type,Nästa aktivitetstyp
Next Item,Nästa objekt
next,näst
Non-current Assets,Långfristiga tillgångar
Non-current Liabilities,Långfristiga skulder
No requests to sign.,Inga förfrågningar att signera.
Not available,Inte tillgänglig
Note,anteckning
Note,Anteckning
notice deposits,depositionsmeddelanden
Number of Actions,Antal åtgärder
Number of errors,Antal fel
Number of messages requiring action,Antal meddelanden som kräver åtgärd
Number of messages with delivery error,Antal meddelanden med leveransfel
object.name,objektnamn
Object,Objekt
odometers,vägmätare
odometer,vägmätare
OEE,OEE
OEE (Overall Equipment Effectiveness),OEE (total utrustningseffektivitet)
of course,givetvis
Off-Balance,Ur balans
Offensive,Stötande/Frånstötande
office,kontor
Off Today,Ledig idag
on demand,på begäran
one2many,en till många
One2Many,en till många
One Stop Shop,One Stop Shop
On Hand Quantity,Nuvarande på lager
online help,online hjälp
Open Balance,Öppen balans
opening balance,öppningsbalans
Opening Balance,Öppningsbalans
opening entry,öppningspost
opening,öppning
openning_balance,öppningsbalans
open status,öppen status
Operating Expenses,Rörelsekostnader
Operating income,Rörelseresultat
operation,operation
operation type,operationstyp
Operator,Operatör
Opportunities,Möjligheter
Opportunity,Möjlighet
optional module,valfri modul
Order Lines,Orderrader
Orderpoint,Beställningspunkt
oum,enhet
outgoing,utgående
out of date,föråldrad
output location,utmatningsplats
outstanding debit,obetalda debiteringar
Outstanding Receipt,Utestående fordran
outstanding,utestående
Overall Equipment Effectiveness,Total utrustningseffektivitet
Overdue,Förfallen
Overdue invoice,Förfallen faktura
Overpassed,Överskriden
overview,översikt
Overview,Översikt
owner,ägare
Package,Emballage
Package Type,Emballagetyp
packaging,förpackning
Packaging,Förpackning
pack,packa
Pad,Ram
Page,Sida
pagination,paginering
Paid' status,Status 'betald'
pain points,smärtpunkt
pain,smärta
panel,panel
panels,paneler
Parent Company,Modersbolag
parent container,överordnad behållare
Partial Capture,Delslutning
partial capture,delvis fångst
Partial Payment,Delbetalning
partial reconciliation,delvis avstämning
Partner Autocomplete,Partner automatisk ifyllning
partner,partner
Partner,Partner
Partner Selection Policy,Partnerurvalspolicy
partners,partners
passphrase,lösenfras
passphrases,lösenfraser
password,lösenord
Password,Lösenord
passwords,lösenord
Path,Sökväg
payable account,leverantörskonto
Payable,Skulder
Payment Acquirer,Betalningsförmedlare/Betalningsleverantör
payment,betalning
Payment,Betalning
Payment Matching,Betalningsmatchning
payment provider,betalningsleverantör
payment providers,betalningsleverantörer
Payment Receipt,Betalningskvitto
Payment record number,Betalningsregistreringsnummer
payments,Betalningar
Payroll,Lönekontor
pay run,lönekörning
pay run,löneutbetalning
pay runs,lönekörningar
pay runs,löneutbetalningar
payslip,lönebesked
payslips,lönebesked
pending,pågående
Pending,Pågående
percentage,procentandel
performance losses,prestandaförluster
performance loss,prestandaförlust
periods,perioder
perpetual,ständig
phone,telefon
photo by,foto av
photo,foto
Picking,Plockning
Pickings,Plockningar
picking type,plocktyp
picking wave,plockvåg
picture,bild
Pie chart,Cirkeldiagram
pills,tabletter
pill,tablett
pinned,nålad
pinning,nålar
pin,nål
PIN,NÅL
pins,nålar
PINT,PINT
pipeline,kanal
pivot,Pivot
pivots,Pivoter
pivot table,pivottabell
pivot view,pivotvy
pivot views,pivotvyer
Placeholder,Platshållare
Plaid,Plaid
Planner,Planerare
Planning,Planering
plataform,plattform
Please Review And Act On This Document,Vänligen granska och agera på detta dokument
PLM,PLM
plus,plus
PO,Inköpsorder
point of sale,försäljningsställe
Point of Sale,Försäljningsställe
Policy Claims,Försäkringsanspråk
Policy,Policy
populate,befolka
popup,popup
Portal Access URL,Portalens åtkomst-URL
Portal,Portal
Position X,Position X
Position Y,Position Y
POS,POS
Postal Provider,Postleverantör
poster,affisch
postgresql,postgresql
post,post
Post,Post
posts,inlägg
powered by,drivs av
predefined,fördefinierad
Preferences,Inställningar
Preferred route,Föredragen rutt
prefix,prefix
preparation display,beredningsdisplay
